Distance,Width,MT,ID,IP
100,32,1030.562893985069,2.0443941193584534,2.0
100,64,855.5323298932727,1.3575520046180838,1.6
100,128,762.5014078571422,0.8328900141647416,1.1
100,256,657.0653832332598,0.47573343096639775,0.7
200,32,1121.4145141489366,2.8579809951275723,2.5
200,64,931.7373764224169,2.0443941193584534,2.2
200,128,778.3323220304541,1.3575520046180838,1.7
200,256,672.8988922446783,0.8328900141647416,1.2
300,32,1188.9006035056657,3.375039431346925,2.8
300,64,977.3598275607145,2.5077946401986964,2.6
300,128,879.3735407819652,1.741466986401147,2.0
300,256,745.275608698527,1.1189410727235074,1.5
400,32,1269.9275895597177,3.7548875021634687,3.0
400,64,1083.201225598653,2.8579809951275723,2.6
400,128,951.3395864691511,2.0443941193584534,2.1
400,256,840.4384739307576,1.3575520046180838,1.6
